Agency,Name,Position,Remuneration,Expenses,Year,Sector
Abbotsford school district,"Lion, Alyson",Teacher,78928,108,2020/2021,School districts
Abbotsford school district,"Rossi, Catharina",Teacher,78946,0,2020/2021,School districts
Abbotsford school district,"Hirowatari, Ruth",Teacher,78970,795,2020/2021,School districts
Abbotsford school district,"Schindel, Kai",Teacher,79057,790,2020/2021,School districts
Abbotsford school district,"Marples, Christina",Teacher,79123,192,2020/2021,School districts
Abbotsford school district,"Morrison, James",Teacher,79123,133,2020/2021,School districts
Abbotsford school district,"Remillard, Christie",Teacher,79169,0,2020/2021,School districts
Abbotsford school district,"Krause, Kristyn",Teacher,79329,527,2020/2021,School districts
Abbotsford school district,"Seo, Teresa",Teacher,79342,0,2020/2021,School districts
Abbotsford school district,"Dennison, Chantal",Teacher,79385,0,2020/2021,School districts
Abbotsford school district,"Whitham, Lindsay",Teacher,79428,0,2020/2021,School districts
Abbotsford school district,"Smith, Meagan",Teacher,79489,0,2020/2021,School districts
Abbotsford school district,"Hutchinson, Alyssa",Teacher,79548,555,2020/2021,School districts
Abbotsford school district,"Noftle, Joel",Teacher,79699,0,2020/2021,School districts
Abbotsford school district,"Yee, Laura",Teacher,79853,416,2020/2021,School districts
Abbotsford school district,"Krossa, Julie",Teacher,79876,0,2020/2021,School districts
Abbotsford school district,"Preiss, Heather",Teacher,79960,0,2020/2021,School districts
Abbotsford school district,"Kurzak, Oliver",Teacher,79980,0,2020/2021,School districts
Abbotsford school district,"Huget, Sharon",Teacher,80106,50,2020/2021,School districts
Abbotsford school district,"Arens, Denise",Teacher,80176,142,2020/2021,School districts
Abbotsford school district,"Senft, Nicole",Teacher,80200,0,2020/2021,School districts
Abbotsford school district,"Chan, Theresa",Teacher,80371,0,2020/2021,School districts
Abbotsford school district,"Mcphee, Alisah",Teacher,80397,119,2020/2021,School districts
Abbotsford school district,"Wildeman, Andrea",Teacher,80460,0,2020/2021,School districts
Abbotsford school district,"Spenard, Deanne",Teacher,80470,0,2020/2021,School districts
Abbotsford school district,"Wedel, Tracy",Teacher,80513,519,2020/2021,School districts
Abbotsford school district,"Wiebe, Jaret","Foreman, DDC",80654,249,2020/2021,School districts
Abbotsford school district,"Collins, Carol",Teacher,80656,0,2020/2021,School districts
Abbotsford school district,"Tinworth, Jeanette",Teacher,80656,0,2020/2021,School districts
Abbotsford school district,"Shank, Alain",Teacher,80914,0,2020/2021,School districts
Abbotsford school district,"Blouin, Melissa",Teacher,80961,0,2020/2021,School districts
Abbotsford school district,"Eberhardt, Paul",Teacher,81071,0,2020/2021,School districts
Abbotsford school district,"Maksim, Sara",Teacher,81161,45,2020/2021,School districts
Abbotsford school district,"Wong, Leo",Tech Support  Windows Systems,81211,0,2020/2021,School districts
Abbotsford school district,"Lanigan, Bonnie",Teacher,81228,0,2020/2021,School districts
Abbotsford school district,"Dunford, Ryan",Teacher,81357,651,2020/2021,School districts
Abbotsford school district,"Brough, Kirsten",Teacher,81488,30,2020/2021,School districts
Abbotsford school district,"Menard, Ashleigh",Teacher,81491,708,2020/2021,School districts
Abbotsford school district,"Suttie, Andrea",Teacher,81495,0,2020/2021,School districts
Abbotsford school district,"Spyksma, Stephanie",Teacher,81572,0,2020/2021,School districts
Abbotsford school district,"Dowedoff, Stephen",Teacher,81729,0,2020/2021,School districts
Abbotsford school district,"RodriguezNavarro, Deanna",Teacher,81783,2535,2020/2021,School districts
Abbotsford school district,"Doerksen, Jennifer",Teacher,81805,37,2020/2021,School districts
Abbotsford school district,"Von Doehren, Tanya",Teacher,81958,0,2020/2021,School districts
Abbotsford school district,"Gray, Lucy",Teacher,82103,0,2020/2021,School districts
Abbotsford school district,"Pagulayan, Rebecca",Teacher,82279,0,2020/2021,School districts
Abbotsford school district,"Jatana, Rupinder",Teacher,82390,21,2020/2021,School districts
Abbotsford school district,"Arnold, Thomas",Teacher,82426,0,2020/2021,School districts
Abbotsford school district,"Dirks, Chenoa",Teacher,82537,0,2020/2021,School districts
Abbotsford school district,"Ofeimu, Jennifer",Teacher,82798,0,2020/2021,School districts
Abbotsford school district,"St. George, Corissa",Executive Assistant,82884,345,2020/2021,School districts
Abbotsford school district,"Verheyen, M.",Teacher,82886,525,2020/2021,School districts
Abbotsford school district,"St. Cyr, Bob",Teacher,82915,0,2020/2021,School districts
Abbotsford school district,"Johnson, Rebecca",Teacher,83210,0,2020/2021,School districts
Abbotsford school district,"Beacon, Stephanie",Teacher,83329,26,2020/2021,School districts
Abbotsford school district,"Watrin, Michelle",Teacher,83494,0,2020/2021,School districts
Abbotsford school district,"Bawa, Ebrahim",Teacher,83544,0,2020/2021,School districts
Abbotsford school district,"Buttar, Puneet",Teacher,83729,0,2020/2021,School districts
Abbotsford school district,"Imai, Jamie",Teacher,83777,0,2020/2021,School districts
Abbotsford school district,"Minhas, Sweeter",Teacher,83778,0,2020/2021,School districts
Abbotsford school district,"Mcrae, Barnaby",Teacher,83844,0,2020/2021,School districts
Abbotsford school district,"Domke, James",Teacher,83912,0,2020/2021,School districts
Abbotsford school district,"Baboi, Andrei",Teacher,83975,424,2020/2021,School districts
Abbotsford school district,"Buckley, Jennifer",Teacher,84064,2103,2020/2021,School districts
Abbotsford school district,"Funk, O.",Teacher,84092,0,2020/2021,School districts
Abbotsford school district,"Small, Marlo",Teacher,84104,0,2020/2021,School districts
Abbotsford school district,"Voth, Zach",Teacher,84176,0,2020/2021,School districts
Abbotsford school district,"Nielsen, Catherine",Teacher,84202,0,2020/2021,School districts
Abbotsford school district,"Burk, Tamara",Teacher,84301,0,2020/2021,School districts
Abbotsford school district,"Chu, WeiCheng",Teacher,84388,0,2020/2021,School districts
Abbotsford school district,"Kennaley, Patricia",Teacher,84445,0,2020/2021,School districts
Abbotsford school district,"Hill, David",Teacher,84502,0,2020/2021,School districts
Abbotsford school district,"Ernewin, Kelly",Teacher,84544,0,2020/2021,School districts
Abbotsford school district,"Rutschmann, Krista",Teacher,84544,0,2020/2021,School districts
Abbotsford school district,"Mihaila, Cristian",Teacher,84731,0,2020/2021,School districts
Abbotsford school district,"Mourad, Sunpreet",Teacher,84767,111,2020/2021,School districts
Abbotsford school district,"Orobko, Tracy",Executive Assistant,84898,1083,2020/2021,School districts
Abbotsford school district,"Kealy, Nicole",Teacher,84943,0,2020/2021,School districts
Abbotsford school district,"Krause, Courtney",Teacher,85014,0,2020/2021,School districts
Abbotsford school district,"Comanescu, Silvia",Teacher,85067,0,2020/2021,School districts
Abbotsford school district,"Mullaly, Jennifer",Teacher,85087,0,2020/2021,School districts
Abbotsford school district,"Newcombe, Nadia",Teacher,85129,0,2020/2021,School districts
Abbotsford school district,"Senft, Andrea",Youth/Community Coordinator,85142,213,2020/2021,School districts
Abbotsford school district,"Nestor, Alexis",Teacher,85365,0,2020/2021,School districts
Abbotsford school district,"Smith, Tarrielea",Teacher,85365,349,2020/2021,School districts
Abbotsford school district,"Theron, Gabriel",Teacher,85388,0,2020/2021,School districts
Abbotsford school district,"Alstad, Travis",Teacher,85398,0,2020/2021,School districts
Abbotsford school district,"Crawford, Cassandra",Teacher,85699,0,2020/2021,School districts
Abbotsford school district,"Bartlett, Aleece",Teacher,85715,0,2020/2021,School districts
Abbotsford school district,"Sovio, Kimberly",Teacher,85728,0,2020/2021,School districts
Abbotsford school district,"Dueck, Bethany",Teacher,85732,227,2020/2021,School districts
Abbotsford school district,"Sterrett, Yvonne",Teacher,85772,0,2020/2021,School districts
Abbotsford school district,"Kidd, Lorilee",Teacher,85808,0,2020/2021,School districts
Abbotsford school district,"Tang, Sasha",Teacher,85891,398,2020/2021,School districts
Abbotsford school district,"Klassen, Jeffrey","Foreman, Electrical",85926,284,2020/2021,School districts
Abbotsford school district,"Mcclelland, Suzi",Teacher,85974,0,2020/2021,School districts
Abbotsford school district,"Ilapogu, Bobby",Teacher,86023,0,2020/2021,School districts
Abbotsford school district,"Jones, Evan",Teacher,86057,0,2020/2021,School districts
Abbotsford school district,"Pelley, Amanda",Teacher,86064,0,2020/2021,School districts
Abbotsford school district,"Edwards, Justin","Manager, Structure/Civil",86087,121,2020/2021,School districts
Abbotsford school district,"Denouden, Chayne",Teacher,86219,655,2020/2021,School districts
Abbotsford school district,"Atawo, Dafe",Teacher,86264,99,2020/2021,School districts
Abbotsford school district,"Phagura, Manveer","Manager, HR",86347,505,2020/2021,School districts
Abbotsford school district,"Bates, Ingrid",Teacher,86356,244,2020/2021,School districts
Abbotsford school district,"Hill, James",Teacher,86374,0,2020/2021,School districts
Abbotsford school district,"Ahrend, Margo",Teacher,86390,0,2020/2021,School districts
Abbotsford school district,"Muller, Daniel",Teacher,86399,0,2020/2021,School districts
Abbotsford school district,"Morgante, Julie",Teacher,86411,0,2020/2021,School districts
Abbotsford school district,"Gagnon, Guylaine",Teacher,86466,45,2020/2021,School districts
Abbotsford school district,"Wiens, Maria",Teacher,86477,0,2020/2021,School districts
Abbotsford school district,"Hopkins, Michial",Teacher,87036,0,2020/2021,School districts
Abbotsford school district,"Schwab, Deanna",Teacher,87041,0,2020/2021,School districts
Abbotsford school district,"Macdonald, Grant",Teacher,87058,594,2020/2021,School districts
Abbotsford school district,"Wellinger, Julianne",Teacher,87078,0,2020/2021,School districts
Abbotsford school district,"Fillion, Coleen",Teacher,87132,0,2020/2021,School districts
Abbotsford school district,"Majewski, Traci",Teacher,87193,0,2020/2021,School districts
Abbotsford school district,"Bath, Harmit",Teacher,87218,0,2020/2021,School districts
Abbotsford school district,"Chand, Gurdeep",Teacher,87350,550,2020/2021,School districts
Abbotsford school district,"Taylor, Darlene",Teacher,87439,2930,2020/2021,School districts
Abbotsford school district,"Zapanta, Elizabeth",Teacher,87479,0,2020/2021,School districts
Abbotsford school district,"Charest, Karin",Teacher,87481,0,2020/2021,School districts
Abbotsford school district,"Koumpan, Olexiy",Teacher,87593,0,2020/2021,School districts
Abbotsford school district,"Mahal, Parveen",Teacher,87654,0,2020/2021,School districts
Abbotsford school district,"Burdell, Sara",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Farkas, Karen",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Giesbrecht, Paul",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Goodliffe, Emily",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Harrison, Kristin",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Hegberg, Renee",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Hickey, Michael",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Ketelaar, James",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Koop, Nicola",Teacher,87655,230,2020/2021,School districts
Abbotsford school district,"Ladhar, Jasjit",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Laplante, Angela",Teacher,87655,244,2020/2021,School districts
Abbotsford school district,"Legault, Marsha",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Magon, Mario",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Moore, Nadia",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Roberts, Scott",Teacher,87655,118,2020/2021,School districts
Abbotsford school district,"Sonoda, Leanne",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Yeomans, Zachary",Teacher,87655,0,2020/2021,School districts
Abbotsford school district,"Seymour, Jennifer",Teacher,87656,0,2020/2021,School districts
Abbotsford school district,"Wall, Leanne",Teacher,87659,239,2020/2021,School districts
Abbotsford school district,"Haist, Alison",Teacher,87696,273,2020/2021,School districts
Abbotsford school district,"Alcock, Karen",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"Cousar, Elizabeth",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"Hemminger, Dustin",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"Janzen, Kirsten",Teacher,87697,569,2020/2021,School districts
Abbotsford school district,"Kehoe, Sharon",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"O’Sullivan, Teresa",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"Staniforth, Angus",Teacher,87697,0,2020/2021,School districts
Abbotsford school district,"Tiwana Grewal, Jasdeep",Teacher,87697,728,2020/2021,School districts
Abbotsford school district,"Twele, Steven",Teacher,87697,187,2020/2021,School districts
Abbotsford school district,"Anderton, Kristi",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Christensen, Pamela",Teacher,87698,287,2020/2021,School districts
Abbotsford school district,"Drouillard, Jason",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Fujimura, Jay",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Gibb, Lynda",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Myers, Matthew",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Richardson, Deborah",Teacher,87698,318,2020/2021,School districts
Abbotsford school district,"Salter, Tara",Teacher,87698,0,2020/2021,School districts
Abbotsford school district,"Barker, Nicole",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Beisiegel, Deborah",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Berdusco, Kathleen",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Blades, David",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Boetto, Jeffrey",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Brooks, Jennifer",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Ciochetti, Brent",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Clark, Eric",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Cook, Jennifer",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Crocker, Melanie",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Depner, Dianne",Teacher,87699,741,2020/2021,School districts
Abbotsford school district,"Edwards, Gisele",Teacher,87699,360,2020/2021,School districts
Abbotsford school district,"Froese, Jacqueline",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Gordon, Cheryl",Teacher,87699,30,2020/2021,School districts
Abbotsford school district,"Hart, Julie",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Hildebrandt, Shannon",Teacher,87699,45,2020/2021,School districts
Abbotsford school district,"JantzKrahn, Rhonda",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Johnston, Kari",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Jones, Melinda",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Jones, Michelle",Teacher,87699,40,2020/2021,School districts
Abbotsford school district,"Jury, Lasha",Teacher,87699,205,2020/2021,School districts
Abbotsford school district,"Kirkham, Tina",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Klein, Alan",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Kruselnicki, Brett",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Larsen, Jennifer",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Macdonald, Faye",Teacher,87699,205,2020/2021,School districts
Abbotsford school district,"Mah, Staci",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Manyk, Kristina",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Mcallister, Diana",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Mcmillan, Lori",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Park, Susan",Teacher,87699,31,2020/2021,School districts
Abbotsford school district,"Penner, Andrew",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Porth, Tanya",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Powell, Sheena",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Prins, Jill",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Reglin, Mark",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Roberts, Euan",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Smith, Allison",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Smith, Sylvia",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Suchynsky, Karen",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Szeman, Maria",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Szucs, Peggy",Teacher,87699,1032,2020/2021,School districts
Abbotsford school district,"Tudhope, Sylvia",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Van Blijenburgh, Karel",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Weatherby, Joanne",Teacher,87699,39,2020/2021,School districts
Abbotsford school district,"White, Susannah",Teacher,87699,779,2020/2021,School districts
Abbotsford school district,"Zemp, Kirsten",Teacher,87699,0,2020/2021,School districts
Abbotsford school district,"Adi, Sherri",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Antak, Megan",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Bains, Neeru",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Brar, Laura",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Chambers, Kathleen",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Coleman, Courtney",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Davies, Bonnie",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Dugdale, Krista",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Fernandes, M.",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Fetterly, Dana",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Germain, Melanie",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Greenway, Leslie",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Gregory, Colleen",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Iversen, Shay",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Johnson, Richard",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Kauffman, Stephan",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Loewen, Rachel",Teacher,87700,622,2020/2021,School districts
Abbotsford school district,"Mcmaster, Heidi",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"O’Donnell, Dyanne",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"O’Keeffe, Jane",Teacher,87700,259,2020/2021,School districts
Abbotsford school district,"Persad, Anna",Teacher,87700,26,2020/2021,School districts
Abbotsford school district,"Poss, Margaret",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Reynolds, Kathleen",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Rogers, Karen",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Rothwell, Trista",Teacher,87700,0,2020/2021,School districts
Abbotsford school district,"Williams, Darla",Teacher,87700,30,2020/2021,School districts
Abbotsford school district,"Bidal, Sabrina",Teacher,87701,302,2020/2021,School districts
Abbotsford school district,"Cap, Stacey",Teacher,87701,0,2020/2021,School districts
Abbotsford school district,"Dorgan, Sara",Teacher,87706,0,2020/2021,School districts
Abbotsford school district,"Nailen, Anya",Teacher,87707,112,2020/2021,School districts
Abbotsford school district,"Moorthy, Raylene",Teacher,87708,114,2020/2021,School districts
Abbotsford school district,"Weinkauf, Lisa",Teacher,87709,0,2020/2021,School districts
Abbotsford school district,"Mann, Rose",Home Stay Coordinator,87756,773,2020/2021,School districts
Abbotsford school district,"Supeene, Amanda",Teacher,87874,250,2020/2021,School districts
Abbotsford school district,"Ledbrook, Kelly",Teacher,87893,0,2020/2021,School districts
Abbotsford school district,"Neufeld, Rachael",Teacher,87982,0,2020/2021,School districts
Abbotsford school district,"De Kroon, Raymond",Teacher,88019,0,2020/2021,School districts
Abbotsford school district,"Craig, Loreen",Teacher,88217,0,2020/2021,School districts
Abbotsford school district,"Enns, Shawna",Teacher,88227,1211,2020/2021,School districts
Abbotsford school district,"Crozier, Marnie",Teacher,88315,300,2020/2021,School districts
Abbotsford school district,"Hemmerich, Heather",Teacher,88357,194,2020/2021,School districts
Abbotsford school district,"Miettinen, Tammy",Teacher,88358,0,2020/2021,School districts
Abbotsford school district,"Pickering, Chad",Teacher,88358,53,2020/2021,School districts
Abbotsford school district,"Cameron, Shawna",Teacher,88360,0,2020/2021,School districts
Abbotsford school district,"Dueck, Jodie",Teacher,88360,30,2020/2021,School districts
Abbotsford school district,"Henry, Lorna",Teacher,88360,200,2020/2021,School districts
Abbotsford school district,"Plank, Carla",Teacher,88360,0,2020/2021,School districts
Abbotsford school district,"Sidhu, Satnam",Teacher,88366,560,2020/2021,School districts
Abbotsford school district,"Costello, Wendy",Teacher,88375,487,2020/2021,School districts
Abbotsford school district,"Matty, Andrew",Teacher,88617,0,2020/2021,School districts
Abbotsford school district,"Deol, Parmjit",Teacher,88732,0,2020/2021,School districts
Abbotsford school district,"Blackwell, Allison",Teacher,89062,0,2020/2021,School districts
Abbotsford school district,"Roger, Carrie",Teacher,89236,113,2020/2021,School districts
Abbotsford school district,"Fehr, Victoria",Teacher,89494,107,2020/2021,School districts
Abbotsford school district,"Harley, Adrianne","Manager, Financial Analysis & Systems",89657,1336,2020/2021,School districts
Abbotsford school district,"Limpright, Maria",Teacher,89741,218,2020/2021,School districts
Abbotsford school district,"Mcgillivray, Brent",Teacher,89746,0,2020/2021,School districts
Abbotsford school district,"Malchy, Katherine",Teacher,89785,0,2020/2021,School districts
Abbotsford school district,"Frew, Joseph",Teacher,89994,0,2020/2021,School districts
