Agency,Name,Position,Remuneration,Expenses,Year,Sector
City of Abbotsford,"Singer, Darren",Trades IIElectrician,81096,1238,2020,Government
City of Abbotsford,"Stangle, Matthew",Recreation Maintenance Supervisor,86000,1361,2020,Government
City of Abbotsford,"Steensland, Ryan",Plumbing Inspector II,85730,16,2020,Government
City of Abbotsford,"Stemler, Stephen",Development Technologist II,81392,405,2020,Government
City of Abbotsford,"Stewart, Stephanie",Duty Officer,91023,1164,2020,Government
City of Abbotsford,"Stull, Darren",Trades II Technician,77574,351,2020,Government
City of Abbotsford,"Subido, Sharon",Utilities Enviro Tech II,81291,283,2020,Government
City of Abbotsford,"Taylor, Lloyd",Trades II Technician,76221,143,2020,Government
City of Abbotsford,"Thiel, Bradley",Engineering Technologist II,81283,225,2020,Government
City of Abbotsford,"Towns, Joshua",Internal Controls & Special Projects Accountant,84782,1704,2020,Government
City of Abbotsford,"Vastenhout, Jeffrey",Recreation Coordinator,77501,446,2020,Government
City of Abbotsford,"Wang, Hao",Works Inspector,78401,920,2020,Government
City of Abbotsford,"Watson, Steve",Fleet Supervisor Emergency Services,84920,388,2020,Government
City of Abbotsford,"Wiebe, Lyle",Millwright,88029,342,2020,Government
City of Abbotsford,"Wiebe, Peter",Building Maintenance Coordinator,83341,436,2020,Government
City of Abbotsford,"Wieler, RudyCornie",Building Official III,91004,904,2020,Government
City of Abbotsford,"Will, Thora",Landscape Horticulture Coordinator,81729,2366,2020,Government
City of Abbotsford,"Wyness, Mike",SCADA Automation Tech,85223,1991,2020,Government
City of Abbotsford,"Zoric, Dragan",Parks Maintenance Coordinator,80721,2443,2020,Government
City of Abbotsford,"Adams, Jeff",Deputy Fire Chief,186108,2522,2020,Government
City of Abbotsford,"Agnihotri, Pardeep","Director, Transportation & Facility Operations",157121,428,2020,Government
City of Abbotsford,"Alani, Aniz","Director, Property, Risk Management & Legal Services",155084,3440,2020,Government
City of Abbotsford,"Alexander, Kristina",Water Planning Engineer,116658,739,2020,Government
City of Abbotsford,"Ali, Asif",SAP Program Manager,116658,,2020,Government
City of Abbotsford,"Austin, James","Director, Utility Operations",162164,2896,2020,Government
City of Abbotsford,"Basatia, Komal","General Manager, Finance & Corporate Services",173585,1350,2020,Government
City of Abbotsford,"Beer, Donald","General Manager, Abbotsford Fire Rescue Service",214381,1345,2020,Government
City of Abbotsford,"Beno, Dena, Kae",Homelessness & Community Development Specialist,172633,7,2020,Government
City of Abbotsford,"Bernier, Ron","Manager, JAMES Plant",120225,9,2020,Government
City of Abbotsford,"Bird, Craig",Assistant Fire Chief,157961,1244,2020,Government
City of Abbotsford,"Bogunovic, Paul","Manager, Plan Checking",110365,430,2020,Government
City of Abbotsford,"Botha, Gordon",Senior Transportation Planning Engineer,134431,1140,2020,Government
City of Abbotsford,"Boudreau, Tracy","Manager, Communications & Marketing",119779,26,2020,Government
City of Abbotsford,"Bowie, Tyler","Director, Infrastructure Planning",157693,956,2020,Government
City of Abbotsford,"Braun, Darren","Director, Development Planning",157121,891,2020,Government
City of Abbotsford,"Brooks, Gregory","Manger, Fleet Services",131934,1605,2020,Government
City of Abbotsford,"Brow, Kathleen",Records Coordinator,83232,1570,2020,Government
City of Abbotsford,"Chiu, Stella","Senior Engineer, Drainage & Wastewater",134939,1502,2020,Government
City of Abbotsford,"Clark, Manjeet",Administration Manager,77078,423,2020,Government
City of Abbotsford,"Collins, Blake",Senior Planner,118887,713,2020,Government
City of Abbotsford,"Comb, Mitchell",Senior Planner,116658,564,2020,Government
City of Abbotsford,"Connolly, Matthew","Manager, Drainage and Utilities Support",104657,639,2020,Government
City of Abbotsford,"Copp, David",SAP Project Coordinator,103383,,2020,Government
City of Abbotsford,"Daoust, Lucas","Manager, Employee Services",108764,4043,2020,Government
City of Abbotsford,"Davis, Sherry",Legal Administrative Services Manager,116523,397,2020,Government
City of Abbotsford,"Domaas, Brad","Senior Manager, Parks Services",118131,1459,2020,Government
City of Abbotsford,"Driedger, Donald","Senior Manager, Projects",78744,,2020,Government
City of Abbotsford,"Dueckman, Thomas",Civic Facilities Manager,114159,1147,2020,Government
City of Abbotsford,"Federspiel, Susan",Culture & Community Services Manager,103234,,2020,Government
City of Abbotsford,"Flitton, William","Director, Legislative Services",80549,367,2020,Government
City of Abbotsford,"Seibert, Tony",Project Engineer,119779,673,2020,Government
City of Abbotsford,"Sharma, Rajat","General Manager, Finance & Corporate Services",207332,1753,2020,Government
City of Abbotsford,"Sidhu, Navdeep","Assistant Manager, Bylaw Services",101834,79,2020,Government
City of Abbotsford,"Sidhu, Parminder","General Manager, Airport",231879,366,2020,Government
City of Abbotsford,"Siemens, Patrick",Senior Development Technologist,98443,760,2020,Government
City of Abbotsford,"Snider, Jeff",Assistant Fire Chief,157216,1206,2020,Government
City of Abbotsford,"Snowden, Kenneth","Assistant Manager, Parks Operations",109851,,2020,Government
City of Abbotsford,"Sparanese, Peter",City Manager,305495,2408,2020,Government
City of Abbotsford,"Stewart, Karen","Senior Manager, Geomatics",92064,1058,2020,Government
City of Abbotsford,"Sward, Tim","Director, Airport Operations",162632,1170,2020,Government
City of Abbotsford,"Tan, Cheryl",Financial Analyst,103234,1060,2020,Government
City of Abbotsford,"Thandi, Rebecca",Planning & Partnerships,116658,,2020,Government
City of Abbotsford,"Toor, Sarbjeet","Senior Manager, Development Engineering",132908,1087,2020,Government
City of Abbotsford,"Treloar, Katherine","General Manager, Innovation, Strategy & Intergovernmental Relations",221368,798,2020,Government
City of Abbotsford,"Urquhart, Diane","Manager, Administration & MCA",77162,59,2020,Government
City of Abbotsford,"Viloria, Marc, Anthony","Manager, Water Distribution",101160,1637,2020,Government
City of Abbotsford,"Visser, Sean",Senior Real Estate Services Manager,133924,1551,2020,Government
City of Abbotsford,"Vurzinger, Joseph","Manager, Utilities Environment",120894,1627,2020,Government
City of Abbotsford,"Watt, Jason","Director, Building Permits & Licences",155448,1075,2020,Government
City of Abbotsford,"Webb, Myra","Manager, Finance & Administration",116591,1570,2020,Government
City of Abbotsford,"Welles, Shawn","Director, Information Technology",163126,550,2020,Government
City of Abbotsford,"Wordsworth, Sonia",SAP Support Analyst,75602,,2020,Government
City of Abbotsford,"Young, Jason","Assistant Manager, Parks Operations",110181,1849,2020,Government
City of Abbotsford,"Zhang, Kathy",Drainage Engineer,116658,475,2020,Government
City of Abbotsford,"Appeldoorn, Tyson",Firefighter Career,78563,1153,2020,Government
City of Abbotsford,"Baldwin, Ryan",Firefighter Career,86509,1029,2020,Government
City of Abbotsford,"Bell, Darren",Firefighter Career,101722,500,2020,Government
City of Abbotsford,"Birnie, Scott",Firefighter Career,107570,2045,2020,Government
City of Abbotsford,"Bolden, Jeff",Firefighter Career,111890,588,2020,Government
City of Abbotsford,"Brogaard, Alex",Firefighter Career,102506,719,2020,Government
City of Abbotsford,"Brown, Jordan",Firefighter Career,105205,1209,2020,Government
City of Abbotsford,"Browne, Melissa",Firefighter Career,103744,1884,2020,Government
City of Abbotsford,"Bull, Brandon",Firefighter Career,86537,506,2020,Government
City of Abbotsford,"Calbick, Alexander",Firefighter Career,85086,1577,2020,Government
City of Abbotsford,"Chew, Jeremy",Firefighter Career,102300,378,2020,Government
City of Abbotsford,"Clark, Spencer",Firefighter Career,98422,818,2020,Government
City of Abbotsford,"Coombes, Ryan",Firefighter Career,107149,1413,2020,Government
City of Abbotsford,"Cullen, Joshua",Firefighter Career,100313,769,2020,Government
City of Abbotsford,"Cusworth, Grant",Captain,127651,508,2020,Government
City of Abbotsford,"Dawes, Jesse",Firefighter Career,99827,504,2020,Government
City of Abbotsford,"Dececco, Gregory",Captain,130423,642,2020,Government
City of Abbotsford,"Dirks, Geoff",Training Officer,140409,675,2020,Government
City of Abbotsford,"Dodd, Thomas",Training Officer,138993,543,2020,Government
City of Abbotsford,"Dyck, Keith",Fire Prevention Lieutenant,117166,1270,2020,Government
City of Abbotsford,"Ellis, Scott",Firefighter Career,104670,2338,2020,Government
City of Abbotsford,"Epp, Darrel",Captain,82421,361,2020,Government
City of Abbotsford,"Etsell, Nathan",Firefighter Career,96180,502,2020,Government
City of Abbotsford,"Evans, Neil",Firefighter Career,104688,1403,2020,Government
City of Abbotsford,"Feenstra, Matthew",Firefighter Career,86782,525,2020,Government
City of Abbotsford,"Felling, Darren",Firefighter Career,106837,1535,2020,Government
City of Abbotsford,"Feraru, George",Firefighter Career,78204,565,2020,Government
City of Abbotsford,"FrostGill, Kyle",Firefighter Career,83192,844,2020,Government
City of Abbotsford,"Funk, Len",Firefighter Career,105969,615,2020,Government
City of Abbotsford,"Stoltz, Travis",Captain,137313,988,2020,Government
City of Abbotsford,"Thiessen, Christopher",Firefighter Career,106877,2070,2020,Government
City of Abbotsford,"Thompson, Brad",Firefighter Career,119143,512,2020,Government
City of Abbotsford,"Thompson, Jonathan",Firefighter Career,105182,533,2020,Government
City of Abbotsford,"Toews, David",Firefighter Career,99599,502,2020,Government
City of Abbotsford,"Torenvliet, Nicholas",Firefighter Career,108134,1059,2020,Government
City of Abbotsford,"Turchen, Tim",Fire Prevention Lieutenant,114874,843,2020,Government
City of Abbotsford,"Van, Der, Gulik, David",Firefighter Career,101601,926,2020,Government
City of Abbotsford,"Vanderhorst, Terry",Firefighter Career,114466,1334,2020,Government
City of Abbotsford,"Welch, Anthony",Firefighter Career,93750,1153,2020,Government
City of Abbotsford,"Wiebe, Lorne",Firefighter Career,105803,763,2020,Government
City of Abbotsford,"Wood, Wade",Platoon Captain,136705,826,2020,Government
City of Abbotsford,"Yeo, Travis",Firefighter Career,116902,528,2020,Government
City of Abbotsford,"Zapf, Garnet",Firefighter Career,107140,2354,2020,Government
City of Abbotsford,"Grewal, Gary",Network Systems Analyst,102556,,2020,Government
City of Abbotsford,"Gurney, Shawn",Urban Forester,88604,2552,2020,Government
City of Abbotsford,"Hallmark, Terry",Millwright Utilities Leadhand,88634,233,2020,Government
City of Abbotsford,"Hanle, Martin",Works Supervisor I  Roads,95805,397,2020,Government
City of Abbotsford,"Harris, Sean",Building Official III,94411,4423,2020,Government
City of Abbotsford,"Healey, Mike",Works Supervisor I,107907,2356,2020,Government
City of Abbotsford,"Hearn, Daymion",Trades IIElectrician,78907,1665,2020,Government
City of Abbotsford,"Heath, Sheri",Laboratory Technician I,76926,102,2020,Government
City of Abbotsford,"Heinemann, MatthewRaymond",Water OperatorDistribution,79025,1761,2020,Government
City of Abbotsford,"Hill, James",Works Supervisor I  DDI,104152,826,2020,Government
City of Abbotsford,"Hill, Nick",Bylaw Enforcement Officer II,85984,96,2020,Government
City of Abbotsford,"Hutsal, Samuel",Trades II  Electrician,87334,1118,2020,Government
City of Abbotsford,"Jackson, James",Building Inspector I,80848,529,2020,Government
City of Abbotsford,"Johal, Jathinder",Works Inspector,81122,75,2020,Government
City of Abbotsford,"Johnson, Evan",Works Inspector,84844,887,2020,Government
City of Abbotsford,"Johnson, Mark",Airport Operations Specialist,76689,162,2020,Government
City of Abbotsford,"Jones, Christy",Environmental Coordinator,87076,1442,2020,Government
City of Abbotsford,"Jude, Paul",HVAC Maintenance Supervisor,80397,275,2020,Government
City of Abbotsford,"Kamstra, Shane",Works Supervisor I,104507,1615,2020,Government
City of Abbotsford,"Kaweesi, Sham",Airport Technician (Engineering),87863,1657,2020,Government
City of Abbotsford,"KozmaPerrin, TaraLynn",Culture Coordinator,77749,490,2020,Government
City of Abbotsford,"Lee, Koltan",Wastewater Treatment Plant Operator II,75916,244,2020,Government
City of Abbotsford,"Lee, Kyu, Hyun, (James)",Applications Analyst,83907,,2020,Government
City of Abbotsford,"Litt, Inderdeep",Senior Business Licence Inspector,87151,284,2020,Government
City of Abbotsford,"Livingstone, Dennis",Trades I DDI,85092,504,2020,Government
City of Abbotsford,"Long, Stephen",Water OperatorDistribution,85878,1869,2020,Government
City of Abbotsford,"Macdonald, Nicole",Solid Waste & Environmental Coordinator,93860,2368,2020,Government
City of Abbotsford,"Macdonald, Scott",Works Supervisor I,83938,369,2020,Government
City of Abbotsford,"Macfarlane, David",Works Supervisor I,110715,957,2020,Government
City of Abbotsford,"Machin, Chad",Airport Operations Specialist,78739,1309,2020,Government
City of Abbotsford,"Mackay, James",Works Supervisor I  Sign Shop,78742,876,2020,Government
City of Abbotsford,"Maerz, Julie",Development Technologist II,81294,,2020,Government
City of Abbotsford,"Mahil, Omrinder",Duty Officer,90190,382,2020,Government
City of Abbotsford,"Maki, Richard",Building Official III,89179,337,2020,Government
City of Abbotsford,"Malik, Shahzeb",Applications Analyst,84748,,2020,Government
City of Abbotsford,"Marshall, Daniel",Water Operator  Supply,86263,796,2020,Government
City of Abbotsford,"Mckechnie, Grant",Plumbing Inspector II,85676,315,2020,Government
City of Abbotsford,"Mcmeeken, David",Leadhand  James Plant,97547,954,2020,Government
City of Abbotsford,"Meghdadi, Siamak",Asset Management Technologist,82062,50,2020,Government
City of Abbotsford,"Mercer, John",Building Official III,89201,162,2020,Government
City of Abbotsford,"Mohle, Henry",Fleet Supervisor,83390,288,2020,Government
City of Abbotsford,"Mordy, Brandon",Building Official III,89211,242,2020,Government
City of Abbotsford,"Murgatroyd, Matthew",Airport Technician (Electrician),88670,253,2020,Government
City of Abbotsford,"Neufeld, Mike",Works Supervisor IDDI,85291,972,2020,Government
City of Abbotsford,"Nicholson, Nolan",Wastewater Treatment Plant Operator I,84153,247,2020,Government
City of Abbotsford,"Noel, Jason",Trades II  Technician,77109,16,2020,Government
City of Abbotsford,"O'Sullivan, Mark",Duty Officer,88059,342,2020,Government
City of Abbotsford,"Peters, Amy",Water Quality and Resources Coordinator,90484,741,2020,Government
City of Abbotsford,"Petrick, Bodin",Network Systems Analyst,103298,2094,2020,Government
City of Abbotsford,"Plenits, Vladimir",Airport Operations Specialist,85498,177,2020,Government
City of Abbotsford,"Powar, Harjot",Plumbing Inspector II,85359,1816,2020,Government
City of Abbotsford,"Prasad, Shivam",Network System Analyst,79437,,2020,Government
City of Abbotsford,"Rances, Marites",Payroll Supervisor,81823,5,2020,Government
City of Abbotsford,"Rogozinski, Cole",Airport Operations Specialist,75496,575,2020,Government
City of Abbotsford,"Saunders, Craig",Duty Officer,90702,207,2020,Government
City of Abbotsford,"Sawatzky, Brian",Water Operator  Supply,76008,1122,2020,Government
City of Abbotsford,"Fok, Daniel","Manager, SCADA & Electrical",121029,1669,2020,Government
City of Abbotsford,"Fournier, Tammy",Administrative Manager,77078,190,2020,Government
City of Abbotsford,"French, Nathan","Manager, IT Support",116881,,2020,Government
City of Abbotsford,"Friesen, Nancy","Executive Assistant, Mayor",77078,37,2020,Government
City of Abbotsford,"Gonzalez, Carmen","Director, Recreation & Culture",162127,110,2020,Government
City of Abbotsford,"Haagen, Douglas","Manager, Wastewater Collection",120595,999,2020,Government
City of Abbotsford,"Hill, Scott","Manager, Recreation",116849,1191,2020,Government
City of Abbotsford,"Hull, Ronald",Assistant Fire Chief,156596,1732,2020,Government
City of Abbotsford,"Ibrahim, Mustafa",Water Planning Engineer,97150,,2020,Government
City of Abbotsford,"Isaac, Robert","General Manager, Engineering & Regional Utilities",214710,749,2020,Government
City of Abbotsford,"Isaacs, Leon","Manager, IT Systems",116658,,2020,Government
City of Abbotsford,"Jaswal, Gurinder",Transportation Engineer,93125,276,2020,Government
City of Abbotsford,"Jones, Luisana","Manager, Energy & Climate Action",107552,600,2020,Government
City of Abbotsford,"Karn, Katherine",Deputy City Clerk  Legislative Services,120732,713,2020,Government
City of Abbotsford,"Kelly, Mike",Senior Transportation Manager,137987,,2020,Government
City of Abbotsford,"Ketola, Tammy",Information & Privacy Coordinator,84823,865,2020,Government
City of Abbotsford,"Koning, Nathan","Director, Project Management Office",161620,1971,2020,Government
City of Abbotsford,"Koole, Reuben",Senior Planner,116658,564,2020,Government
City of Abbotsford,"Laljee, Magda","Senior Manager, Bylaw Services",129867,95,2020,Government
City of Abbotsford,"Laverty, Mike","Assistant Director, Labour Relations",119833,488,2020,Government
City of Abbotsford,"Leighton, Craig",Assistant Fire Chief,157497,1822,2020,Government
City of Abbotsford,"Leis, Sonja, M","Administrative Manager, Development Services",77078,130,2020,Government
City of Abbotsford,"Lewis, Emily","Manager, Financial Planning & Accounting",96884,2077,2020,Government
City of Abbotsford,"Livingstone, Rhonda",Communications & Design Specialist,103235,,2020,Government
City of Abbotsford,"Loewen, David","Manager, Engineering Inspections & Permits",120193,300,2020,Government
City of Abbotsford,"Mante, Floyd, (Joe)","Assistant Manager, Matsqui Recreation Centre",102740,879,2020,Government
City of Abbotsford,"Martens, Alison",Continuous Improvement Coordinator,97460,2314,2020,Government
City of Abbotsford,"Martin, Keith","Manager, Roads",117618,1014,2020,Government
City of Abbotsford,"Marwick, TaraLeigh",Senior Labour Relations Advisor,95032,,2020,Government
City of Abbotsford,"Mathewson, Anna","Director, Environmental Services",143975,5492,2020,Government
City of Abbotsford,"Mathialagan, Thyagarajan",Wastewater Planning Engineer,116658,1078,2020,Government
City of Abbotsford,"May, Vern","Manager, Economic Development",110222,3709,2020,Government
City of Abbotsford,"Mazurenko, Jessica",Financial Analyst,87417,1650,2020,Government
City of Abbotsford,"Mcallister, Graeme",Project Engineer,116658,1230,2020,Government
City of Abbotsford,"Mcauley, John","Manager, Water Supply",121675,341,2020,Government
City of Abbotsford,"Mcavoy, Rachel",Administrative Manager,79140,512,2020,Government
City of Abbotsford,"Mcbride, Timothy","Assistant Manager, Procurement",103234,961,2020,Government
City of Abbotsford,"Mckay, Todd","Manager, Airport Operations",103195,450,2020,Government
City of Abbotsford,"Miller, Katrina","Director, Human Resources",148180,6015,2020,Government
City of Abbotsford,"Mitchell, Alexandria",Public Relations Officer,96061,2010,2020,Government
City of Abbotsford,"Moen, Belinda","Manager, Building Inspection",111843,2509,2020,Government
City of Abbotsford,"MorrisonClark, Mary, Att","General Manager, Parks, Recreation & Culture",224781,39,2020,Government
City of Abbotsford,"Nash, LauraLynn","Manager, Financial Systems & Disbursements",116658,1333,2020,Government
City of Abbotsford,"Neill, Mark","Director, Community Planning",182423,643,2020,Government
City of Abbotsford,"Ngo, Alan",Water Planning Engineer,119779,475,2020,Government
City of Abbotsford,"Nguyen, AnhThu, Betty",Staff Lawyer,93487,8611,2020,Government
City of Abbotsford,"Palmer, Ashley","Manager, Financial Operations",122477,2426,2020,Government
City of Abbotsford,"Paynton, Geoff","Director, Parks & Facilities",152957,1842,2020,Government
City of Abbotsford,"Perry, Ryan",Senior Planner,106525,564,2020,Government
City of Abbotsford,"Phangura, Parm",Occupational Health & Safety Manager,116495,2144,2020,Government
City of Abbotsford,"Pratasevich, OlgaVolha",Financial Analyst,95233,2393,2020,Government
City of Abbotsford,"Pryce, Lisa","Senior Manager, Procurement",125188,521,2020,Government
City of Abbotsford,"Pryce, Melissa",Senior Planner,127412,753,2020,Government
City of Abbotsford,"Pye, Allison",Business Improvement Manager,116658,,2020,Government
City of Abbotsford,"Roberts, Barbara",Film & Special Events Manager,102609,957,2020,Government
City of Abbotsford,"Schwanke, Michael",Project Engineer,116658,475,2020,Government
City of Abbotsford,"Gill, Amandeep",Firefighter Career,100655,524,2020,Government
City of Abbotsford,"Goerzen, Gerhard",Firefighter Career,102633,550,2020,Government
City of Abbotsford,"Grewal, Kulbir",Fire Prevention Lieutenant,116231,1726,2020,Government
City of Abbotsford,"Griffioen, George, Edward",Captain,125620,582,2020,Government
City of Abbotsford,"Hambly, Robert",Captain,120076,915,2020,Government
City of Abbotsford,"Hamilton, Michael",Firefighter Career,105458,524,2020,Government
City of Abbotsford,"Harris, Krista",Firefighter Career,96076,1266,2020,Government
City of Abbotsford,"Herron, Gregory",Captain,128674,168,2020,Government
City of Abbotsford,"Hessels, John",Firefighter Career,94823,508,2020,Government
City of Abbotsford,"Holt, Kirk",Firefighter Career,120154,567,2020,Government
City of Abbotsford,"Houlihan, Adam",Firefighter Career,106728,2062,2020,Government
City of Abbotsford,"Hull, Robert",Firefighter Career,111525,497,2020,Government
City of Abbotsford,"Iwama, Adam",Firefighter Career,79990,933,2020,Government
City of Abbotsford,"Janzen, Daniel",Firefighter Career,104752,519,2020,Government
City of Abbotsford,"Jones, Dwayne",Platoon Captain,136887,956,2020,Government
City of Abbotsford,"Jones, Michael",Firefighter Career,124973,547,2020,Government
City of Abbotsford,"JonesCook, Robert",Firefighter Career,87285,500,2020,Government
City of Abbotsford,"Kearney, Michael",Fire Prevention Lieutenant,115540,217,2020,Government
City of Abbotsford,"Kerr, Devon",Firefighter Career,82383,528,2020,Government
City of Abbotsford,"Kroeker, Brandon",Firefighter Career,80533,1136,2020,Government
City of Abbotsford,"Kwak, Cory",Platoon Captain,134711,544,2020,Government
City of Abbotsford,"Leighton, Colton",Firefighter Career,87713,1050,2020,Government
City of Abbotsford,"Lemond, Kevin",Firefighter Career,101496,655,2020,Government
City of Abbotsford,"Lenarcic, Spencer",Firefighter Career,104961,1671,2020,Government
City of Abbotsford,"Letkeman, Greg",Firefighter Career,100132,1098,2020,Government
City of Abbotsford,"Loewen, Andrew",Firefighter Career,78986,486,2020,Government
City of Abbotsford,"Loewen, James",Captain,125455,535,2020,Government
City of Abbotsford,"Lucas, Tony",Firefighter Career,106750,677,2020,Government
City of Abbotsford,"Mackinnon, Mike",Firefighter Career,108063,854,2020,Government
City of Abbotsford,"Macleod, Gavin",Firefighter Career,109359,813,2020,Government
City of Abbotsford,"Main, Ted",Fire Prevention Officer,133555,1759,2020,Government
City of Abbotsford,"Mawdsley, Andrew",Firefighter Career,104551,553,2020,Government
City of Abbotsford,"Mcalister, Michael",Firefighter Career,125262,610,2020,Government
City of Abbotsford,"Molnar, Brand",Firefighter Career,87654,1648,2020,Government
City of Abbotsford,"Moore, Jason",Firefighter Career,125695,510,2020,Government
City of Abbotsford,"Mora, Perea, Juan",Firefighter Career,99677,1214,2020,Government
City of Abbotsford,"Newman, Brent",Captain,133275,501,2020,Government
City of Abbotsford,"Nicholas, Kristoffer",Firefighter Career,80233,507,2020,Government
City of Abbotsford,"Park, Joseph",Firefighter Career,104053,1365,2020,Government
City of Abbotsford,"Parker, Bradley",Firefighter Career,104848,1512,2020,Government
City of Abbotsford,"Pederson, Brian",Firefighter Career,113508,828,2020,Government
City of Abbotsford,"Petrie, Shane, Attac",Firefighter Career,125454,522,2020,Government
City of Abbotsford,"Popil, Amy",Firefighter Career,82342,1581,2020,Government
City of Abbotsford,"Rennie, David",Captain,130882,539,2020,Government
City of Abbotsford,"Rice, Steve",Firefighter Career,106112,2574,2020,Government
